model,store,product,horizon,smape,mase,rmse,rmsle
ARIMA_DAILY,S001,P0001,7,35.2937,0.8413,38.3874,0.4649
ARIMA_DAILY,S001,P0002,7,29.3493,0.6654,34.0961,0.4194
ARIMA_DAILY,S001,P0003,7,35.1459,0.7341,49.0061,0.5309
ARIMA_DAILY,S001,P0004,7,40.3126,0.8044,36.5823,0.6883
ARIMA_DAILY,S001,P0005,7,34.994,0.6695,39.9236,0.4289
ARIMA_DAILY,S001,P0006,7,44.1155,0.685,42.2752,0.872
ARIMA_DAILY,S001,P0007,7,39.6817,0.7358,51.7187,0.5958
ARIMA_DAILY,S001,P0008,7,34.471,0.7644,31.6089,0.4351
ARIMA_DAILY,S001,P0009,7,32.2863,0.8664,46.6228,0.4232
ARIMA_DAILY,S001,P0010,7,33.6247,0.7275,29.2862,0.4572
ARIMA_DAILY,S001,P0011,7,38.7427,0.7681,31.4397,0.5189
ARIMA_DAILY,S001,P0012,7,36.1766,0.6982,42.8149,0.5317
ARIMA_DAILY,S001,P0013,7,43.2348,0.7899,33.229,0.5724
ARIMA_DAILY,S001,P0014,7,36.3608,0.6744,41.5936,0.5491
ARIMA_DAILY,S001,P0015,7,41.7774,0.7897,36.3127,0.5778
ARIMA_DAILY,S001,P0016,7,36.9369,0.6054,43.3861,0.6804
ARIMA_DAILY,S001,P0017,7,41.5495,0.7719,33.2381,0.6869
ARIMA_DAILY,S001,P0018,7,33.3284,0.7635,39.2956,0.4268
ARIMA_DAILY,S001,P0019,7,41.1866,0.876,30.5708,0.5596
ARIMA_DAILY,S001,P0020,7,41.044,0.7152,29.6112,0.5664
ARIMA_DAILY,S002,P0001,7,41.9476,0.7759,50.6667,0.5819
ARIMA_DAILY,S002,P0002,7,44.7078,0.7848,40.7777,0.6345
ARIMA_DAILY,S002,P0003,7,38.2191,0.6594,40.3139,0.5854
ARIMA_DAILY,S002,P0004,7,32.6253,0.635,40.601,0.4104
ARIMA_DAILY,S002,P0005,7,37.3468,0.7827,39.2315,0.5089
ARIMA_DAILY,S002,P0006,7,29.6251,0.7752,34.6573,0.4165
ARIMA_DAILY,S002,P0007,7,46.7673,0.8413,42.8044,0.6929
ARIMA_DAILY,S002,P0008,7,29.2997,0.6356,33.718,0.4076
ARIMA_DAILY,S002,P0009,7,37.0998,0.7472,47.9003,0.6696
ARIMA_DAILY,S002,P0010,7,27.7596,0.6848,35.2291,0.3432
ARIMA_DAILY,S002,P0011,7,42.7284,0.7267,46.5772,0.8342
ARIMA_DAILY,S002,P0012,7,34.2791,0.6827,35.782,0.4571
ARIMA_DAILY,S002,P0013,7,37.4214,0.6128,42.1291,0.6502
ARIMA_DAILY,S002,P0014,7,43.15,0.8137,42.6759,0.7738
ARIMA_DAILY,S002,P0015,7,36.7855,0.7781,45.6565,0.8061
ARIMA_DAILY,S002,P0016,7,35.0862,0.7696,41.2732,0.6402
ARIMA_DAILY,S002,P0017,7,49.0982,0.7653,42.8938,0.7809
ARIMA_DAILY,S002,P0018,7,29.5568,0.7548,29.9491,0.4082
ARIMA_DAILY,S002,P0019,7,32.839,0.6635,38.1246,0.6398
ARIMA_DAILY,S002,P0020,7,39.2215,0.7783,30.9156,0.4852
ARIMA_DAILY,S003,P0001,7,49.7786,0.8871,44.3174,0.9459
ARIMA_DAILY,S003,P0002,7,40.9838,0.7277,47.1309,0.7301
ARIMA_DAILY,S003,P0003,7,32.2738,0.7452,34.6835,0.4927
ARIMA_DAILY,S003,P0004,7,39.7011,0.8002,51.358,0.7289
ARIMA_DAILY,S003,P0005,7,47.1686,0.7874,43.2855,0.8321
ARIMA_DAILY,S003,P0006,7,40.1655,0.8219,35.5551,0.6249
ARIMA_DAILY,S003,P0007,7,33.1161,0.6233,43.7369,0.4809
ARIMA_DAILY,S003,P0008,7,31.0706,0.7464,40.7869,0.3749
ARIMA_DAILY,S003,P0009,7,34.5756,0.8298,39.1461,0.4533
ARIMA_DAILY,S003,P0010,7,32.0059,0.6911,35.7978,0.5434
ARIMA_DAILY,S003,P0011,7,42.9403,0.8069,42.2591,0.9156
ARIMA_DAILY,S003,P0012,7,40.3735,0.8154,31.9437,0.6527
ARIMA_DAILY,S003,P0013,7,38.309,0.6548,43.2609,0.8678
ARIMA_DAILY,S003,P0014,7,35.2767,0.7818,45.6645,0.4366
ARIMA_DAILY,S003,P0015,7,40.5881,0.6797,47.4396,0.7747
ARIMA_DAILY,S003,P0016,7,34.4125,0.6774,41.2615,0.4656
ARIMA_DAILY,S003,P0017,7,41.9535,0.8211,31.6899,0.7072
ARIMA_DAILY,S003,P0018,7,39.591,0.7896,31.379,0.5257
ARIMA_DAILY,S003,P0019,7,26.0615,0.595,29.3478,0.3537
ARIMA_DAILY,S003,P0020,7,32.9319,0.7949,50.8876,0.4263
ARIMA_DAILY,S004,P0001,7,37.6514,0.7215,48.2297,0.815
ARIMA_DAILY,S004,P0002,7,40.2593,0.6522,43.1502,0.7659
ARIMA_DAILY,S004,P0003,7,42.7036,0.8983,40.0557,0.5978
ARIMA_DAILY,S004,P0004,7,38.2356,0.7236,48.8731,0.7416
ARIMA_DAILY,S004,P0005,7,31.3998,0.7733,33.4569,0.4089
ARIMA_DAILY,S004,P0006,7,37.0159,0.6556,43.7202,0.5223
ARIMA_DAILY,S004,P0007,7,40.5715,0.7728,51.0621,0.7301
ARIMA_DAILY,S004,P0008,7,38.0668,0.8356,27.1478,0.5311
ARIMA_DAILY,S004,P0009,7,36.993,0.7466,42.4826,0.8035
ARIMA_DAILY,S004,P0010,7,40.3417,0.7481,46.919,0.6016
ARIMA_DAILY,S004,P0011,7,36.2115,0.7986,50.5675,0.5016
ARIMA_DAILY,S004,P0012,7,34.1146,0.9008,36.6153,0.4236
ARIMA_DAILY,S004,P0013,7,39.5336,0.7182,47.4226,0.6717
ARIMA_DAILY,S004,P0014,7,39.2072,0.7162,32.6818,0.5284
ARIMA_DAILY,S004,P0015,7,40.0756,0.7272,31.9072,0.5255
ARIMA_DAILY,S004,P0016,7,41.8948,0.7817,31.3348,0.6891
ARIMA_DAILY,S004,P0017,7,28.4949,0.6949,33.2721,0.3866
