model,store,product,horizon,mase,smape,rmse,rmsle
Chronos-Bolt-Small,S001,P0001,7,0.7427,28.0072,31.8002,0.3218
Chronos-Bolt-Small,S001,P0002,7,0.6356,32.9143,29.7949,0.4166
Chronos-Bolt-Small,S001,P0003,7,0.3473,18.6804,20.5353,0.2106
Chronos-Bolt-Small,S001,P0004,7,0.4962,24.5959,22.0418,0.2836
Chronos-Bolt-Small,S001,P0005,7,0.4724,23.3328,29.7696,0.2871
Chronos-Bolt-Small,S001,P0006,7,0.5213,46.5495,30.9932,1.6083
Chronos-Bolt-Small,S001,P0007,7,0.9702,43.4381,59.8672,0.4869
Chronos-Bolt-Small,S001,P0008,7,0.5729,26.9351,20.9743,0.3065
Chronos-Bolt-Small,S001,P0009,7,1.034,45.2296,45.6405,0.4979
Chronos-Bolt-Small,S001,P0010,7,0.6,24.7173,21.4216,0.2749
Chronos-Bolt-Small,S001,P0011,7,0.4325,27.6863,17.9546,0.4007
Chronos-Bolt-Small,S001,P0012,7,0.963,39.8303,54.6454,0.4507
Chronos-Bolt-Small,S001,P0013,7,0.8372,36.6324,38.5528,0.4633
Chronos-Bolt-Small,S001,P0014,7,0.624,27.7199,51.7288,0.4054
Chronos-Bolt-Small,S001,P0015,7,0.8344,44.9453,40.6177,0.5467
Chronos-Bolt-Small,S001,P0016,7,0.3822,19.2895,27.3353,0.2358
Chronos-Bolt-Small,S001,P0017,7,0.4404,25.6272,20.7876,0.4131
Chronos-Bolt-Small,S001,P0018,7,0.8433,41.6965,39.8327,0.5314
Chronos-Bolt-Small,S001,P0019,7,0.665,28.6647,22.4067,0.3166
Chronos-Bolt-Small,S001,P0020,7,0.3916,22.7227,17.5044,0.3043
Chronos-Bolt-Small,S002,P0001,7,0.8899,34.507,59.2692,0.3988
Chronos-Bolt-Small,S002,P0002,7,0.7968,42.8271,38.79,0.4603
Chronos-Bolt-Small,S002,P0003,7,0.6255,49.0941,39.8723,1.2036
Chronos-Bolt-Small,S002,P0004,7,0.378,19.3875,24.1985,0.2345
Chronos-Bolt-Small,S002,P0005,7,0.9089,31.2273,57.2625,0.4726
Chronos-Bolt-Small,S002,P0006,7,0.5682,25.0081,23.3007,0.3385
Chronos-Bolt-Small,S002,P0007,7,1.2467,56.9946,62.8586,0.6847
Chronos-Bolt-Small,S002,P0008,7,0.4363,20.8707,21.6959,0.2676
Chronos-Bolt-Small,S002,P0009,7,0.6414,33.107,36.8685,0.4022
Chronos-Bolt-Small,S002,P0010,7,0.5823,25.6919,29.7605,0.3149
Chronos-Bolt-Small,S002,P0011,7,0.6787,38.4031,37.7427,0.4289
Chronos-Bolt-Small,S002,P0012,7,0.5121,29.0829,23.6581,0.3703
Chronos-Bolt-Small,S002,P0013,7,0.3854,20.9342,24.7141,0.2399
Chronos-Bolt-Small,S002,P0014,7,1.1268,46.6721,54.7037,0.5583
Chronos-Bolt-Small,S002,P0015,7,0.5555,32.3868,31.2447,0.5273
Chronos-Bolt-Small,S002,P0016,7,0.6028,33.2678,27.2955,0.3771
Chronos-Bolt-Small,S002,P0017,7,1.102,56.9647,64.3675,0.7555
Chronos-Bolt-Small,S002,P0018,7,0.8102,38.34,29.9923,0.5072
Chronos-Bolt-Small,S002,P0019,7,0.6117,27.3289,36.0529,0.3258
Chronos-Bolt-Small,S002,P0020,7,0.9219,40.2166,35.8696,0.4787
Chronos-Bolt-Small,S003,P0001,7,0.6364,31.5287,30.0699,0.3527
Chronos-Bolt-Small,S003,P0002,7,0.3281,19.141,21.4549,0.2462
Chronos-Bolt-Small,S003,P0003,7,1.0863,34.963,42.4307,0.3707
Chronos-Bolt-Small,S003,P0004,7,0.9637,43.4193,54.3572,0.4884
Chronos-Bolt-Small,S003,P0005,7,1.3936,58.6216,73.8053,0.6935
Chronos-Bolt-Small,S003,P0006,7,0.6134,28.8634,24.8049,0.3425
Chronos-Bolt-Small,S003,P0007,7,1.0126,41.0722,67.8497,0.5044
Chronos-Bolt-Small,S003,P0008,7,0.644,26.1804,33.8276,0.3096
Chronos-Bolt-Small,S003,P0009,7,0.7588,26.9236,36.2019,0.3308
Chronos-Bolt-Small,S003,P0010,7,0.5294,22.6842,28.1116,0.3116
Chronos-Bolt-Small,S003,P0011,7,1.0837,43.8844,56.942,0.5358
Chronos-Bolt-Small,S003,P0012,7,0.7696,40.7435,27.014,0.4527
Chronos-Bolt-Small,S003,P0013,7,0.7155,37.4902,43.1958,0.4239
Chronos-Bolt-Small,S003,P0014,7,0.6732,38.9986,39.0929,0.4737
Chronos-Bolt-Small,S003,P0015,7,0.7233,36.7823,53.7103,0.4856
Chronos-Bolt-Small,S003,P0016,7,0.8789,37.5423,48.0974,0.4208
Chronos-Bolt-Small,S003,P0017,7,1.3775,53.7605,55.7033,0.6475
Chronos-Bolt-Small,S003,P0018,7,0.6138,36.2938,25.586,0.5468
Chronos-Bolt-Small,S003,P0019,7,0.4172,19.5671,20.9585,0.2608
Chronos-Bolt-Small,S003,P0020,7,0.6331,28.3595,31.7961,0.3055
Chronos-Bolt-Small,S004,P0001,7,0.398,18.3594,27.2859,0.2302
Chronos-Bolt-Small,S004,P0002,7,0.5224,32.1291,32.5895,0.4573
Chronos-Bolt-Small,S004,P0003,7,0.6258,25.5757,31.8679,0.3507
Chronos-Bolt-Small,S004,P0004,7,0.3403,21.1887,22.6422,0.2761
Chronos-Bolt-Small,S004,P0005,7,0.9507,37.4739,38.8304,0.4288
Chronos-Bolt-Small,S004,P0006,7,0.699,32.4136,43.4007,0.3856
Chronos-Bolt-Small,S004,P0007,7,0.8771,38.9012,54.4956,0.4513
Chronos-Bolt-Small,S004,P0008,7,0.3659,14.3712,13.0291,0.1748
Chronos-Bolt-Small,S004,P0009,7,0.9606,65.337,51.4552,1.8044
Chronos-Bolt-Small,S004,P0010,7,0.8086,43.7153,54.2288,0.5308
Chronos-Bolt-Small,S004,P0011,7,0.5283,27.0608,28.8862,0.309
Chronos-Bolt-Small,S004,P0012,7,0.8011,30.4138,30.8416,0.3654
Chronos-Bolt-Small,S004,P0013,7,1.1333,53.4639,70.3803,0.6131
Chronos-Bolt-Small,S004,P0014,7,0.5046,19.6025,31.1098,0.3246
Chronos-Bolt-Small,S004,P0015,7,0.5765,39.7316,22.4344,0.4893
Chronos-Bolt-Small,S004,P0016,7,0.6458,30.165,23.7033,0.3305
Chronos-Bolt-Small,S004,P0017,7,0.3616,15.6964,15.1849,0.1733
Chronos-Bolt-Small,S004,P0018,7,0.8786,32.7681,34.6309,0.4349
Chronos-Bolt-Small,S004,P0019,7,0.3517,16.132,17.5442,0.2128
Chronos-Bolt-Small,S004,P0020,7,0.9172,39.072,40.6563,0.4888
Chronos-Bolt-Small,S005,P0001,7,0.8503,42.5049,53.1176,0.4981
Chronos-Bolt-Small,S005,P0002,7,0.508,28.0715,24.2441,0.3192
Chronos-Bolt-Small,S005,P0003,7,0.4825,26.6553,22.9739,0.355
Chronos-Bolt-Small,S005,P0004,7,0.5341,26.6691,27.9944,0.3848
Chronos-Bolt-Small,S005,P0005,7,0.6412,29.8974,33.7309,0.3316
Chronos-Bolt-Small,S005,P0006,7,0.5627,36.8595,34.9219,0.4982
Chronos-Bolt-Small,S005,P0007,7,1.237,42.9724,92.1728,0.6041
Chronos-Bolt-Small,S005,P0008,7,0.7344,32.8005,35.6177,0.3998
Chronos-Bolt-Small,S005,P0009,7,0.6808,38.7046,37.3086,0.4607
Chronos-Bolt-Small,S005,P0010,7,0.4481,24.1148,28.469,0.2997
Chronos-Bolt-Small,S005,P0011,7,1.2067,65.9079,54.1927,1.6771
Chronos-Bolt-Small,S005,P0012,7,0.8482,45.8516,28.4039,0.4812
Chronos-Bolt-Small,S005,P0013,7,0.6222,32.3894,36.5718,0.3597
Chronos-Bolt-Small,S005,P0014,7,0.3871,17.9199,15.4022,0.2114
Chronos-Bolt-Small,S005,P0015,7,0.5872,27.2032,36.7638,0.3352
Chronos-Bolt-Small,S005,P0016,7,1.6608,98.3479,79.5619,1.1519
Chronos-Bolt-Small,S005,P0017,7,0.8156,36.5359,38.8628,0.4593
Chronos-Bolt-Small,S005,P0018,7,0.6933,33.1652,34.0844,0.388
Chronos-Bolt-Small,S005,P0019,7,0.8366,35.0353,43.4607,0.5125
Chronos-Bolt-Small,S005,P0020,7,0.8124,40.0702,33.6171,0.458
Chronos-Bolt-Small,S001,P0001,14,0.7164,30.5384,30.1275,0.3761
Chronos-Bolt-Small,S001,P0002,14,0.5442,29.4982,29.7905,0.5062
Chronos-Bolt-Small,S001,P0003,14,0.691,31.3415,50.1778,0.394
