model,store,product,horizon,smape,mase,rmse,rmsle
Naive,S001,P0001,7,60.0777,1.3053,59.3778,0.8057
Naive,S001,P0002,7,32.8349,0.7636,38.5163,0.4645
Naive,S001,P0003,7,58.7547,1.0639,71.3382,0.8283
Naive,S001,P0004,7,55.0201,1.0409,46.4648,0.8251
Naive,S001,P0005,7,38.5797,0.7905,48.111,0.5106
Naive,S001,P0006,7,58.9342,0.8567,47.6545,1.4981
Naive,S001,P0007,7,74.6097,1.363,92.9049,1.1372
Naive,S001,P0008,7,51.8604,1.2334,47.6079,0.6427
Naive,S001,P0009,7,39.1645,1.0882,57.3198,0.5345
Naive,S001,P0010,7,36.4266,0.7875,30.3094,0.4645
Naive,S001,P0011,7,50.6243,1.0783,46.2594,0.6545
Naive,S001,P0012,7,59.2167,1.2088,72.8668,0.8044
Naive,S001,P0013,7,53.5503,1.0374,43.1785,0.6879
Naive,S001,P0014,7,38.5088,0.7026,45.2211,0.5474
Naive,S001,P0015,7,43.3798,0.8663,41.2718,0.6024
Naive,S001,P0016,7,51.6247,0.8539,57.775,0.8588
Naive,S001,P0017,7,43.8608,0.8339,35.8104,0.61
Naive,S001,P0018,7,35.8282,0.8437,42.5425,0.4629
Naive,S001,P0019,7,47.2784,1.0078,37.0175,0.6427
Naive,S001,P0020,7,43.7955,0.7924,33.5314,0.5841
Naive,S002,P0001,7,51.4041,0.8788,57.4749,0.6882
Naive,S002,P0002,7,56.9521,0.9986,53.5712,0.7795
Naive,S002,P0003,7,46.3582,0.8266,50.1161,0.6562
Naive,S002,P0004,7,43.8146,0.8688,53.8212,0.6037
Naive,S002,P0005,7,48.5345,1.0436,54.0994,0.6405
Naive,S002,P0006,7,36.115,0.9623,41.1028,0.4711
Naive,S002,P0007,7,55.5212,1.0232,53.8655,0.7745
Naive,S002,P0008,7,51.1298,1.0835,55.518,0.6932
Naive,S002,P0009,7,55.6983,1.1972,74.7725,0.858
Naive,S002,P0010,7,38.1871,0.9619,48.8591,0.4905
Naive,S002,P0011,7,54.1355,1.0017,67.7049,0.9625
Naive,S002,P0012,7,39.3816,0.7963,39.9967,0.4987
Naive,S002,P0013,7,43.1914,0.8049,57.3455,0.74
Naive,S002,P0014,7,58.5889,1.2555,66.2859,0.9897
Naive,S002,P0015,7,65.145,1.1833,66.6217,1.5786
Naive,S002,P0016,7,45.4428,1.0934,57.6988,0.7616
Naive,S002,P0017,7,63.1014,1.0128,55.3276,0.9871
Naive,S002,P0018,7,37.7721,0.954,39.6926,0.5076
Naive,S002,P0019,7,38.106,0.7742,44.9592,0.7168
Naive,S002,P0020,7,49.4463,1.1088,47.2584,0.6887
Naive,S003,P0001,7,58.5348,1.1728,68.1176,1.0472
Naive,S003,P0002,7,42.0451,0.7638,50.2338,0.7293
Naive,S003,P0003,7,34.9747,0.8118,35.7407,0.4787
Naive,S003,P0004,7,51.6521,0.9872,62.2686,0.8093
Naive,S003,P0005,7,60.1549,0.991,56.6886,1.0326
Naive,S003,P0006,7,41.02,0.8236,36.0188,0.5584
