model,store,product,horizon,mse,rmse,mae,mape,smape,mase,rmsle
Prophet,S001,P0001,7,1506.8464,38.8181,29.7826,44.2261,35.3052,0.8164,0.4682
Prophet,S001,P0002,7,1172.5608,34.2427,27.0612,38.7355,29.7628,0.6723,0.4182
Prophet,S001,P0003,7,2540.0553,50.399,40.0682,68.0604,36.0598,0.7511,0.5415
Prophet,S001,P0004,7,1272.2223,35.6682,29.251,9035718097.5505,39.3138,0.7909,0.7022
Prophet,S001,P0005,7,1605.4654,40.0683,33.9642,43.4869,34.9996,0.6857,0.4351
Prophet,S001,P0006,7,1826.1524,42.7335,31.1093,15624334221.3225,45.1471,0.7118,0.8693
Prophet,S001,P0007,7,2833.3237,53.229,43.2077,85.7566,43.7091,0.8216,0.6517
Prophet,S001,P0008,7,974.2175,31.2125,24.4536,41.496,33.7233,0.7493,0.4416
Prophet,S001,P0009,7,2194.2243,46.8425,36.6305,36.2652,32.9573,0.8703,0.4238
Prophet,S001,P0010,7,903.5623,30.0593,23.4181,45.3542,34.6648,0.7499,0.4724
Prophet,S001,P0011,7,952.7508,30.8667,23.759,51.2346,37.5368,0.7392,0.5003
Prophet,S001,P0012,7,1903.3889,43.6278,34.7016,59.3577,36.9091,0.7141,0.5473
Prophet,S001,P0013,7,1055.9911,32.496,26.8787,69.3711,41.0879,0.7682,0.5945
Prophet,S001,P0014,7,1757.4278,41.9217,33.907,73.547,36.4314,0.6805,0.5563
Prophet,S001,P0015,7,1166.4338,34.1531,27.2981,68.4371,38.8914,0.7447,0.5843
Prophet,S001,P0016,7,1958.0078,44.2494,34.5957,11378832962.5696,37.3437,0.6292,0.6865
Prophet,S001,P0017,7,1113.1126,33.3633,26.3484,95.4439,41.9832,0.7789,0.6765
Prophet,S001,P0018,7,1580.1518,39.7511,32.1641,43.6106,33.49,0.7737,0.4394
Prophet,S001,P0019,7,956.9231,30.9342,25.3928,64.1995,41.8503,0.8858,0.5722
Prophet,S001,P0020,7,918.586,30.3082,24.8182,64.9288,42.0101,0.7401,0.5791
Prophet,S002,P0001,7,2583.6159,50.8293,40.8587,65.1347,41.7519,0.767,0.5766
Prophet,S002,P0002,7,1603.878,40.0484,33.1875,72.082,43.9699,0.7616,0.6112
Prophet,S002,P0003,7,1679.9929,40.9877,34.0272,89.131,39.2154,0.6989,0.6104
Prophet,S002,P0004,7,1666.2872,40.8202,33.3632,43.1565,33.4773,0.6722,0.4356
Prophet,S002,P0005,7,1588.4636,39.8555,32.1967,54.103,38.2075,0.793,0.5192
Prophet,S002,P0006,7,1246.7497,35.3093,26.3974,36.738,30.1068,0.7744,0.4176
Prophet,S002,P0007,7,1868.6592,43.228,35.4668,98.7138,47.3255,0.8459,0.712
Prophet,S002,P0008,7,1223.9122,34.9845,27.0138,42.3871,30.3589,0.6711,0.433
