model,store,product,horizon,smape,mase,rmse,rmsle
SNaive,S001,P0001,7,52.6184,1.2357,55.219,0.6898
SNaive,S001,P0002,7,45.2455,1.0268,49.8778,0.6131
SNaive,S001,P0003,7,51.6423,1.0623,67.8545,0.7662
SNaive,S001,P0004,7,51.1517,1.0192,47.7645,0.9034
SNaive,S001,P0005,7,41.8805,0.8488,52.6316,0.5405
SNaive,S001,P0006,7,57.18,0.8745,51.19,1.1715
SNaive,S001,P0007,7,59.0386,1.1108,77.4194,0.8737
SNaive,S001,P0008,7,44.0018,1.0179,43.3345,0.5826
SNaive,S001,P0009,7,40.8077,1.0728,57.2099,0.5558
SNaive,S001,P0010,7,45.2732,1.0008,39.0663,0.5924
SNaive,S001,P0011,7,48.9205,1.015,43.5803,0.6535
SNaive,S001,P0012,7,52.6935,1.0305,60.9277,0.7155
SNaive,S001,P0013,7,49.2408,0.9278,41.2676,0.6972
SNaive,S001,P0014,7,51.4841,0.9587,59.8767,0.7961
SNaive,S001,P0015,7,51.6819,0.9931,45.727,0.773
SNaive,S001,P0016,7,50.2836,0.8315,58.8227,0.9141
SNaive,S001,P0017,7,53.9039,0.9652,41.9878,0.8311
SNaive,S001,P0018,7,43.1667,0.9915,52.9284,0.5839
SNaive,S001,P0019,7,49.3399,1.0649,38.8191,0.6843
SNaive,S001,P0020,7,54.6238,0.9922,40.5129,0.7156
SNaive,S002,P0001,7,56.5064,1.0612,69.4341,0.743
SNaive,S002,P0002,7,56.3556,0.989,53.09,0.7728
SNaive,S002,P0003,7,49.9284,0.8704,53.7166,0.8136
SNaive,S002,P0004,7,43.0975,0.8595,53.6589,0.5607
SNaive,S002,P0005,7,51.9034,1.1078,55.8315,0.7044
SNaive,S002,P0006,7,44.7825,1.1584,51.0164,0.6168
SNaive,S002,P0007,7,62.5246,1.1151,56.4543,0.871
SNaive,S002,P0008,7,41.0504,0.9208,49.9016,0.5974
SNaive,S002,P0009,7,47.9514,0.9847,61.6882,0.8128
SNaive,S002,P0010,7,39.7702,0.9987,49.3256,0.491
SNaive,S002,P0011,7,67.2188,1.1307,71.3923,1.3305
SNaive,S002,P0012,7,43.8118,0.8824,41.8524,0.5534
SNaive,S002,P0013,7,44.94,0.7524,50.9083,0.7066
SNaive,S002,P0014,7,60.307,1.1004,55.0781,1.0447
SNaive,S002,P0015,7,54.0428,1.0602,58.0532,1.1405
SNaive,S002,P0016,7,49.8002,1.076,55.2827,0.8667
SNaive,S002,P0017,7,60.996,0.9604,52.1832,1.0426
SNaive,S002,P0018,7,39.9991,1.0151,39.7567,0.524
SNaive,S002,P0019,7,49.1108,0.9905,56.8138,0.9362
SNaive,S002,P0020,7,50.1704,1.0364,42.8468,0.6549
SNaive,S003,P0001,7,68.1929,1.238,66.1667,1.411
SNaive,S003,P0002,7,52.1033,0.9139,61.3296,0.8979
SNaive,S003,P0003,7,41.5266,0.954,42.4224,0.5968
SNaive,S003,P0004,7,58.4669,1.1326,68.6855,1.0095
SNaive,S003,P0005,7,60.5566,1.0225,56.4188,0.9781
SNaive,S003,P0006,7,52.5032,1.0483,46.291,0.7662
SNaive,S003,P0007,7,45.9506,0.8763,57.9049,0.6515
SNaive,S003,P0008,7,39.5972,0.9675,51.853,0.509
SNaive,S003,P0009,7,44.5936,1.0821,51.6983,0.6083
SNaive,S003,P0010,7,44.9235,0.9643,49.3199,0.7052
SNaive,S003,P0011,7,62.1426,1.1472,61.7304,1.3982
SNaive,S003,P0012,7,48.3838,1.0244,41.5979,0.8989
SNaive,S003,P0013,7,55.1598,0.9131,57.6686,1.1487
SNaive,S003,P0014,7,48.1919,1.0538,61.7145,0.6272
SNaive,S003,P0015,7,59.9518,0.9889,64.2796,1.1061
SNaive,S003,P0016,7,46.1607,0.9523,58.1166,0.6352
SNaive,S003,P0017,7,56.3144,1.067,40.5708,0.8763
SNaive,S003,P0018,7,42.0873,0.8674,37.2095,0.6346
SNaive,S003,P0019,7,35.7609,0.8214,39.3386,0.5022
SNaive,S003,P0020,7,43.5281,1.0556,60.9438,0.5362
SNaive,S004,P0001,7,55.4176,1.0138,64.6793,1.1116
SNaive,S004,P0002,7,57.985,0.8945,56.0708,1.018
SNaive,S004,P0003,7,62.0983,1.292,57.7201,0.8404
SNaive,S004,P0004,7,50.0097,0.9644,69.1716,1.0695
SNaive,S004,P0005,7,38.2475,0.948,42.8035,0.5152
SNaive,S004,P0006,7,42.6351,0.7786,51.5657,0.5797
SNaive,S004,P0007,7,60.2748,1.141,73.3429,0.8972
SNaive,S004,P0008,7,47.8314,1.03,34.5707,0.6413
SNaive,S004,P0009,7,48.2957,1.0063,58.0232,1.1509
SNaive,S004,P0010,7,59.4624,1.0652,68.0569,0.9546
SNaive,S004,P0011,7,47.0945,1.0625,67.2675,0.7049
SNaive,S004,P0012,7,43.5912,1.1674,46.1089,0.5463
SNaive,S004,P0013,7,58.5402,1.0433,66.2472,1.0677
SNaive,S004,P0014,7,48.1673,0.9116,41.8149,0.6762
SNaive,S004,P0015,7,49.0651,0.9081,38.4792,0.6504
SNaive,S004,P0016,7,55.7317,1.0511,43.1813,0.9553
SNaive,S004,P0017,7,41.89,1.0287,48.3383,0.5683
SNaive,S004,P0018,7,45.6022,0.9192,31.7014,0.6296
SNaive,S004,P0019,7,38.0604,0.9443,48.9687,0.6091
SNaive,S004,P0020,7,54.4385,1.0158,42.4309,0.9381
SNaive,S005,P0001,7,52.7305,0.929,60.2009,0.9905
SNaive,S005,P0002,7,50.1162,1.099,55.9964,0.6538
SNaive,S005,P0003,7,54.7085,1.0121,47.0996,0.7656
SNaive,S005,P0004,7,45.2992,1.0301,55.2226,0.6499
SNaive,S005,P0005,7,50.7505,0.9776,57.3315,1.1168
SNaive,S005,P0006,7,49.2101,0.9975,68.9817,0.9933
SNaive,S005,P0007,7,43.679,0.8895,60.0459,0.6568
SNaive,S005,P0008,7,37.9313,0.8342,43.2695,0.4936
SNaive,S005,P0009,7,52.3244,1.0216,66.385,1.1719
SNaive,S005,P0010,7,47.9957,0.9085,61.042,0.6499
SNaive,S005,P0011,7,54.9094,1.1191,56.3399,0.9431
SNaive,S005,P0012,7,53.1579,1.1557,45.3092,0.7388
SNaive,S005,P0013,7,56.4919,1.0213,64.2505,0.8634
SNaive,S005,P0014,7,51.1381,1.0337,42.5996,0.907
SNaive,S005,P0015,7,48.741,0.9024,58.0257,0.9281
SNaive,S005,P0016,7,69.4726,1.1272,60.0563,1.3121
SNaive,S005,P0017,7,57.8086,1.0846,50.3862,0.8604
SNaive,S005,P0018,7,40.8591,0.9533,47.9911,0.5028
SNaive,S005,P0019,7,48.6664,0.9942,41.6271,0.7014
SNaive,S005,P0020,7,51.7831,0.9689,40.5135,0.7256
SNaive,S001,P0001,14,51.606,1.2299,57.001,0.7075
SNaive,S001,P0002,14,43.9558,0.9973,49.1688,0.6179
SNaive,S001,P0003,14,45.1358,0.9161,58.9352,0.6295
SNaive,S001,P0004,14,60.7328,1.2105,56.1841,1.1166
SNaive,S001,P0005,14,43.3014,0.8691,52.3854,0.5423
SNaive,S001,P0006,14,62.9243,0.9758,56.1752,1.1058
SNaive,S001,P0007,14,56.985,1.0759,73.7422,0.7848
SNaive,S001,P0008,14,47.544,1.1103,46.8709,0.6254
SNaive,S001,P0009,14,43.6724,1.2042,64.2686,0.5937
SNaive,S001,P0010,14,48.7929,1.0784,42.6749,0.6663
SNaive,S001,P0011,14,53.7666,1.0798,42.6934,0.6908
SNaive,S001,P0012,14,47.4493,0.9134,55.619,0.6739
SNaive,S001,P0013,14,58.5436,1.0818,46.365,0.7986
SNaive,S001,P0014,14,50.9593,0.9201,59.8704,0.8191
SNaive,S001,P0015,14,62.1443,1.157,52.8759,0.9806
SNaive,S001,P0016,14,45.7534,0.7527,52.8016,0.711
SNaive,S001,P0017,14,64.4007,1.1876,50.6781,1.0853
SNaive,S001,P0018,14,44.2986,0.9957,51.8365,0.5784
SNaive,S001,P0019,14,56.1681,1.1872,42.019,0.7641
