store,product,test_MAE,test_RMSE,test_sMAPE,model,split,horizon
S001,P0001,26.2549,31.8002,28.0072,chronos_bolt_small,test,7
S001,P0002,25.523,29.7949,32.9143,chronos_bolt_small,test,7
S001,P0003,18.4589,20.5353,18.6804,chronos_bolt_small,test,7
S001,P0004,18.3356,22.0418,24.5959,chronos_bolt_small,test,7
S001,P0005,23.9198,29.7696,23.3328,chronos_bolt_small,test,7
S001,P0006,23.1827,30.9932,46.5495,chronos_bolt_small,test,7
S001,P0007,50.2183,59.8672,43.4381,chronos_bolt_small,test,7
S001,P0008,18.6517,20.9743,26.9351,chronos_bolt_small,test,7
S001,P0009,42.909,45.6405,45.2296,chronos_bolt_small,test,7
S001,P0010,18.6498,21.4216,24.7173,chronos_bolt_small,test,7
S001,P0011,13.9271,17.9546,27.6863,chronos_bolt_small,test,7
S001,P0012,46.5032,54.6454,39.8303,chronos_bolt_small,test,7
S001,P0013,29.6144,38.5528,36.6324,chronos_bolt_small,test,7
S001,P0014,31.2198,51.7288,27.7199,chronos_bolt_small,test,7
S001,P0015,30.6057,40.6177,44.9453,chronos_bolt_small,test,7
S001,P0016,21.5229,27.3353,19.2895,chronos_bolt_small,test,7
S001,P0017,14.954,20.7876,25.6272,chronos_bolt_small,test,7
S001,P0018,35.2106,39.8327,41.6965,chronos_bolt_small,test,7
S001,P0019,18.8744,22.4067,28.6647,chronos_bolt_small,test,7
S001,P0020,13.193,17.5044,22.7227,chronos_bolt_small,test,7
S002,P0001,47.1716,59.2692,34.507,chronos_bolt_small,test,7
S002,P0002,34.7254,38.79,42.8271,chronos_bolt_small,test,7
S002,P0003,30.9198,39.8723,49.0941,chronos_bolt_small,test,7
S002,P0004,19.1631,24.1985,19.3875,chronos_bolt_small,test,7
S002,P0005,36.3859,57.2625,31.2273,chronos_bolt_small,test,7
S002,P0006,19.0696,23.3007,25.0081,chronos_bolt_small,test,7
S002,P0007,51.4353,62.8586,56.9946,chronos_bolt_small,test,7
S002,P0008,17.6922,21.6959,20.8707,chronos_bolt_small,test,7
S002,P0009,31.029,36.8685,33.107,chronos_bolt_small,test,7
S002,P0010,23.2871,29.7605,25.6919,chronos_bolt_small,test,7
S002,P0011,35.0936,37.7427,38.4031,chronos_bolt_small,test,7
S002,P0012,20.3746,23.6581,29.0829,chronos_bolt_small,test,7
S002,P0013,20.8723,24.7141,20.9342,chronos_bolt_small,test,7
S002,P0014,43.8018,54.7037,46.6721,chronos_bolt_small,test,7
S002,P0015,24.5992,31.2447,32.3868,chronos_bolt_small,test,7
S002,P0016,25.2569,27.2955,33.2678,chronos_bolt_small,test,7
S002,P0017,48.0466,64.3675,56.9647,chronos_bolt_small,test,7
S002,P0018,25.4592,29.9923,38.34,chronos_bolt_small,test,7
S002,P0019,27.6987,36.0529,27.3289,chronos_bolt_small,test,7
S002,P0020,28.8948,35.8696,40.2166,chronos_bolt_small,test,7
S003,P0001,25.8545,30.0699,31.5287,chronos_bolt_small,test,7
S003,P0002,17.0442,21.4549,19.141,chronos_bolt_small,test,7
S003,P0003,39.6278,42.4307,34.963,chronos_bolt_small,test,7
S003,P0004,47.0476,54.3572,43.4193,chronos_bolt_small,test,7
S003,P0005,61.5903,73.8053,58.6216,chronos_bolt_small,test,7
S003,P0006,22.1417,24.8049,28.8634,chronos_bolt_small,test,7
S003,P0007,52.468,67.8497,41.0722,chronos_bolt_small,test,7
S003,P0008,27.3911,33.8276,26.1804,chronos_bolt_small,test,7
S003,P0009,28.4617,36.2019,26.9236,chronos_bolt_small,test,7
S003,P0010,21.5715,28.1116,22.6842,chronos_bolt_small,test,7
S003,P0011,46.1569,56.942,43.8844,chronos_bolt_small,test,7
S003,P0012,24.4121,27.014,40.7435,chronos_bolt_small,test,7
S003,P0013,36.6153,43.1958,37.4902,chronos_bolt_small,test,7
S003,P0014,32.4126,39.0929,38.9986,chronos_bolt_small,test,7
S003,P0015,39.4046,53.7103,36.7823,chronos_bolt_small,test,7
S003,P0016,41.0883,48.0974,37.5423,chronos_bolt_small,test,7
S003,P0017,42.1266,55.7033,53.7605,chronos_bolt_small,test,7
S003,P0018,19.1725,25.586,36.2938,chronos_bolt_small,test,7
S003,P0019,16.4945,20.9585,19.5671,chronos_bolt_small,test,7
S003,P0020,28.3843,31.7961,28.3595,chronos_bolt_small,test,7
S004,P0001,19.7027,27.2859,18.3594,chronos_bolt_small,test,7
S004,P0002,26.825,32.5895,32.1291,chronos_bolt_small,test,7
S004,P0003,20.9441,31.8679,25.5757,chronos_bolt_small,test,7
S004,P0004,18.1537,22.6422,21.1887,chronos_bolt_small,test,7
S004,P0005,33.3518,38.8304,37.4739,chronos_bolt_small,test,7
S004,P0006,35.9765,43.4007,32.4136,chronos_bolt_small,test,7
S004,P0007,45.2605,54.4956,38.9012,chronos_bolt_small,test,7
S004,P0008,9.99,13.0291,14.3712,chronos_bolt_small,test,7
S004,P0009,41.9357,51.4552,65.337,chronos_bolt_small,test,7
S004,P0010,43.5384,54.2288,43.7153,chronos_bolt_small,test,7
S004,P0011,24.4926,28.8862,27.0608,chronos_bolt_small,test,7
S004,P0012,24.8028,30.8416,30.4138,chronos_bolt_small,test,7
S004,P0013,59.2913,70.3803,53.4639,chronos_bolt_small,test,7
S004,P0014,17.2317,31.1098,19.6025,chronos_bolt_small,test,7
S004,P0015,19.1222,22.4344,39.7317,chronos_bolt_small,test,7
S004,P0016,20.7324,23.7033,30.165,chronos_bolt_small,test,7
S004,P0017,13.6274,15.1849,15.6964,chronos_bolt_small,test,7
S004,P0018,24.5342,34.6309,32.7681,chronos_bolt_small,test,7
S004,P0019,13.3513,17.5442,16.1321,chronos_bolt_small,test,7
S004,P0020,28.6653,40.6563,39.072,chronos_bolt_small,test,7
S005,P0001,42.3244,53.1176,42.5049,chronos_bolt_small,test,7
S005,P0002,20.2629,24.2441,28.0715,chronos_bolt_small,test,7
S005,P0003,17.7492,22.9739,26.6553,chronos_bolt_small,test,7
S005,P0004,22.0552,27.9944,26.6691,chronos_bolt_small,test,7
S005,P0005,29.7728,33.7309,29.8974,chronos_bolt_small,test,7
S005,P0006,28.8179,34.9219,36.8595,chronos_bolt_small,test,7
S005,P0007,61.8355,92.1728,42.9724,chronos_bolt_small,test,7
S005,P0008,31.0497,35.6177,32.8005,chronos_bolt_small,test,7
S005,P0009,33.6068,37.3086,38.7046,chronos_bolt_small,test,7
S005,P0010,23.8422,28.469,24.1148,chronos_bolt_small,test,7
S005,P0011,47.3267,54.1927,65.9079,chronos_bolt_small,test,7
S005,P0012,26.3352,28.4039,45.8516,chronos_bolt_small,test,7
S005,P0013,31.9311,36.5719,32.3894,chronos_bolt_small,test,7
S005,P0014,12.3204,15.4022,17.9199,chronos_bolt_small,test,7
S005,P0015,29.3258,36.7638,27.2032,chronos_bolt_small,test,7
S005,P0016,71.0639,79.5619,98.348,chronos_bolt_small,test,7
S005,P0017,30.0458,38.8628,36.5359,chronos_bolt_small,test,7
S005,P0018,28.6406,34.0844,33.1652,chronos_bolt_small,test,7
S005,P0019,26.3987,43.4607,35.0353,chronos_bolt_small,test,7
S005,P0020,28.2524,33.6171,40.0702,chronos_bolt_small,test,7
S001,P0001,19.8889,27.5344,20.212,chronos_hgb_ensemble,test,7
S001,P0002,18.0761,23.2452,24.4668,chronos_hgb_ensemble,test,7
S001,P0003,21.3627,22.8026,21.4454,chronos_hgb_ensemble,test,7
S001,P0004,17.2742,18.9423,23.1825,chronos_hgb_ensemble,test,7
S001,P0005,18.7508,25.8418,18.1674,chronos_hgb_ensemble,test,7
S001,P0006,16.04,17.1405,45.1063,chronos_hgb_ensemble,test,7
S001,P0007,42.4791,50.3032,36.5069,chronos_hgb_ensemble,test,7
S001,P0008,14.4591,17.0492,20.8658,chronos_hgb_ensemble,test,7
S001,P0009,39.6133,40.7271,42.5301,chronos_hgb_ensemble,test,7
S001,P0010,7.8725,11.002,10.2156,chronos_hgb_ensemble,test,7
S001,P0011,24.8109,31.4693,40.7056,chronos_hgb_ensemble,test,7
S001,P0012,45.7918,51.8823,39.1451,chronos_hgb_ensemble,test,7
S001,P0013,18.884,23.3906,21.4472,chronos_hgb_ensemble,test,7
S001,P0014,32.6605,46.9838,29.3881,chronos_hgb_ensemble,test,7
S001,P0015,21.306,29.9122,29.2758,chronos_hgb_ensemble,test,7
S001,P0016,18.0272,26.837,15.8527,chronos_hgb_ensemble,test,7
S001,P0017,13.3261,20.1361,23.5054,chronos_hgb_ensemble,test,7
S001,P0018,31.9837,37.5332,38.5267,chronos_hgb_ensemble,test,7
S001,P0019,16.5949,19.2542,24.7662,chronos_hgb_ensemble,test,7
S001,P0020,19.3272,27.0415,30.3976,chronos_hgb_ensemble,test,7
S002,P0001,50.3412,65.6557,37.2361,chronos_hgb_ensemble,test,7
S002,P0002,19.4926,24.1886,23.4616,chronos_hgb_ensemble,test,7
S002,P0003,33.2562,41.3221,51.4955,chronos_hgb_ensemble,test,7
S002,P0004,13.5981,15.0969,13.3756,chronos_hgb_ensemble,test,7
S002,P0005,31.7674,42.6791,27.0985,chronos_hgb_ensemble,test,7
S002,P0006,20.3135,24.3047,26.4499,chronos_hgb_ensemble,test,7
S002,P0007,37.2612,43.437,37.491,chronos_hgb_ensemble,test,7
S002,P0008,17.003,21.0082,19.9949,chronos_hgb_ensemble,test,7
S002,P0009,27.2391,30.838,29.3746,chronos_hgb_ensemble,test,7
S002,P0010,21.1928,27.7919,23.2414,chronos_hgb_ensemble,test,7
S002,P0011,28.9082,32.9483,31.6921,chronos_hgb_ensemble,test,7
S002,P0012,11.7143,20.4626,18.3431,chronos_hgb_ensemble,test,7
S002,P0013,14.6367,17.6038,14.4154,chronos_hgb_ensemble,test,7
S002,P0014,26.0749,35.09,25.4486,chronos_hgb_ensemble,test,7
S002,P0015,23.0211,31.0645,30.5185,chronos_hgb_ensemble,test,7
S002,P0016,25.4472,27.179,32.0433,chronos_hgb_ensemble,test,7
S002,P0017,31.979,38.593,35.7683,chronos_hgb_ensemble,test,7
S002,P0018,27.688,37.8195,39.2689,chronos_hgb_ensemble,test,7
S002,P0019,22.6618,31.5681,22.3913,chronos_hgb_ensemble,test,7
S002,P0020,16.115,21.6676,19.3332,chronos_hgb_ensemble,test,7
S003,P0001,20.7567,22.5648,25.3093,chronos_hgb_ensemble,test,7
S003,P0002,19.0567,25.3909,20.8364,chronos_hgb_ensemble,test,7
S003,P0003,40.8553,42.8778,36.5188,chronos_hgb_ensemble,test,7
S003,P0004,41.9346,47.0832,37.8961,chronos_hgb_ensemble,test,7
S003,P0005,39.6016,49.2365,33.392,chronos_hgb_ensemble,test,7
S003,P0006,19.307,22.5937,25.2411,chronos_hgb_ensemble,test,7
S003,P0007,44.8322,62.6539,33.3463,chronos_hgb_ensemble,test,7
S003,P0008,30.6192,35.7919,29.6076,chronos_hgb_ensemble,test,7
S003,P0009,22.1523,30.9335,20.0595,chronos_hgb_ensemble,test,7
S003,P0010,20.4542,27.8988,21.473,chronos_hgb_ensemble,test,7
S003,P0011,39.8487,51.7541,36.3161,chronos_hgb_ensemble,test,7
S003,P0012,36.568,40.158,54.4185,chronos_hgb_ensemble,test,7
S003,P0013,34.5399,43.1805,35.5336,chronos_hgb_ensemble,test,7
S003,P0014,32.8297,36.9122,39.3192,chronos_hgb_ensemble,test,7
S003,P0015,31.9178,43.4119,28.9294,chronos_hgb_ensemble,test,7
S003,P0016,38.0725,45.5469,34.5032,chronos_hgb_ensemble,test,7
S003,P0017,31.7629,39.8472,35.3124,chronos_hgb_ensemble,test,7
S003,P0018,27.79,36.3511,45.825,chronos_hgb_ensemble,test,7
