feature,importance,std
Inventory Level,0.2559153222180125,0.00812662591242367
Promotion,0.10733979508658235,0.004025393840825313
Epidemic,0.08962802922736732,0.0035186393215607503
Price,0.03344864358281411,0.0015082430411774161
Competitor Pricing,0.00904518040050265,0.001120302651782605
dayofyear,0.008929680656858962,0.0008115221115909732
roll_mean_28,0.004029842915822268,0.0009554857284577959
roll_mean_14,0.0033135580017248146,0.001020192568991945
roll_mean_7,0.0032493226197362612,0.0008256229991206894
lag_3,0.0019378096413086078,0.0005491637383231464
roll_std_28,0.0014520032314591536,0.0007402791334385074
lag_1,0.0014319553272611253,0.0002968682597025022
Discount,0.0014120701018040748,0.0004563537626146219
lag_2,0.0013715814832632068,0.0006829556630497507
roll_std_14,0.001085286675012853,0.0006899396021197454
lag_14,0.000799681732121027,0.0004036755782776151
month,0.000636098417927633,0.00028774818540887483
lag_7,0.00034682001274288776,0.0006253954124742983
lag_28,0.00017862207164134336,0.0008458524715778847
roll_std_7,0.00014451561603466833,0.000521459537114898
dayofweek,-0.00042120248612904644,0.0004122075861137306
