model,split,horizon,mean_mae,mean_rmse,mean_smape
chronos_hgb_ensemble_hpo,val,7,31.7674,38.9804,34.2427
chronos_hgb_ensemble,val,7,32.1437,39.5624,34.5627
hgb_lag_features,val,7,32.6365,40.1794,34.7925
lstm_univariate,val,7,33.847,44.4035,39.0538
ridge_lag_features,val,7,34.7375,42.3353,36.6539
chronos_bolt_small,val,7,34.839,43.2383,36.9713
naive,val,7,35.0277,46.5586,40.3982
sarimax,val,7,35.3166,45.6977,40.4287
arima,val,7,35.32,45.6978,40.4314
ets,val,7,35.4163,45.932,40.5323
lgbm_chronos,val,7,35.6315,43.6767,37.4241
prophet,val,7,35.7392,44.5651,37.8408
seasonal_naive,val,7,45.4047,59.3912,58.1208
chronos_hgb_ensemble,test,7,25.9897,32.3453,29.364
ensemble_rand,test,7,26.0427,32.3436,29.4581
ensemble_tpe,test,7,26.0859,32.3735,29.4887
ridge_lag_features,test,7,27.2425,33.2602,30.6066
lgbm_chronos,test,7,27.7069,34.2638,31.2112
chronos_bolt_small,test,7,29.8666,36.954,34.3359
prophet,test,7,31.4504,39.7669,37.8749
lstm_univariate,test,7,31.8763,40.7905,38.5143
sarimax,test,7,32.7024,42.5775,39.5786
arima,test,7,32.7032,42.5798,39.5799
ets,test,7,32.7573,42.6657,39.6449
seasonal_naive,test,7,41.8521,54.1656,54.493
naive,test,7,54.6831,67.0195,78.4491
