ablation,label,alpha,n_features,val_MAE,val_RMSE,val_sMAPE,ΔMAE,Δ%MAE,horizon
FULL-C2,Chronos-2 (cov) + HGB (HPO),0.223,21,31.8695,39.2843,34.2881,0.0,0.0,7
B1-C2,C2 Only (α=1),1.0,0,34.1808,42.3959,36.1095,2.3113,7.25,7
B2-C2,HGB Only (α=0),0.0,21,32.2709,39.7554,34.4712,0.4014,1.26,7
B3-C2,"No HPO (default, α=0.5)",0.5,21,32.3634,39.8305,34.7279,0.4939,1.55,7
B4-C2,No Lag (–6),0.223,15,32.0549,39.3854,34.4222,0.1854,0.58,7
B5-C2,No Calendar (–3),0.223,18,31.7873,39.3095,34.1675,-0.0822,-0.26,7
B6-C2,No Exogenous (–6),0.223,15,35.096,43.7142,36.9186,3.2265,10.12,7
FULL-Bolt,Chronos-Bolt + HGB (HPO),0.223,21,31.7982,39.1425,34.2339,0.0,0.0,7
B1-Bolt,Bolt Only (α=1),1.0,0,34.3334,42.3205,36.2519,2.5352,7.97,7
B2-Bolt,HGB Only (α=0),0.0,21,32.2709,39.7554,34.4712,0.4727,1.49,7
B3-Bolt,"No HPO (default, α=0.5)",0.5,21,32.2724,39.6091,34.6524,0.4742,1.49,7
B4-Bolt,No Lag (–6),0.223,15,31.9976,39.242,34.3812,0.1994,0.63,7
B5-Bolt,No Calendar (–3),0.223,18,31.7079,39.1526,34.1023,-0.0903,-0.28,7
B6-Bolt,No Exogenous (–6),0.223,15,35.0394,43.5767,36.8658,3.2412,10.19,7
