feature,importance,std
Inventory Level,0.2438037870249798,0.008078918452544324
Promotion,0.11218912799971034,0.004382605333080363
Epidemic,0.09165378127090763,0.0036307605552911414
Price,0.026635103858122344,0.0015797477661507713
dayofyear,0.006978516686226499,0.0007597161500521416
Competitor Pricing,0.006500947347071994,0.0008059145492416096
roll_mean_28,0.0034281820786734698,0.0006349877078808373
lag_3,0.001717375064404969,0.0004906200919438424
roll_mean_14,0.0014504270063598669,0.0004652440980542688
roll_mean_7,0.0011205705361573837,0.0005079410656133946
lag_1,0.0007496419480103822,0.00030236307909980114
month,0.0006284944575660978,0.00030375694967267863
lag_7,0.0005745027919268452,0.0005138501382597469
lag_2,0.00047958960587922704,0.000221216519264608
roll_std_14,0.00044033386339491497,0.0003021083865597194
lag_14,0.00035447281637323024,0.0003141716280887449
roll_std_28,0.00032879683867381715,0.00047029018186940056
Discount,0.00023407011842874192,0.0001277097553862226
lag_28,0.00019414548952354505,0.0002704024455053971
dayofweek,-4.49927159020036e-05,0.00018018690872491266
roll_std_7,-0.0001550602518800792,0.000498124648366849
