feature,importance,std
Inventory Level,0.24701725502528973,0.0080571103713193
Promotion,0.11077780362838843,0.004332539397728409
Epidemic,0.09823975789908115,0.00373887402685727
Price,0.028911787428136194,0.0011893184804943713
dayofyear,0.007655848627913886,0.0006779962103751795
Competitor Pricing,0.006002228477429683,0.0009049311069633334
roll_mean_28,0.002958901045401252,0.0005150113626066054
roll_std_28,0.001803411226957663,0.00048003886813833256
lag_3,0.0012384123069659968,0.00048560800865618753
lag_2,0.000799812907373354,0.0005299098627639534
lag_7,0.0007912362989425104,0.0006507900291213614
roll_mean_7,0.0006570552860330703,0.00035085199560761995
roll_mean_14,0.0005489750785752423,0.0006019125665727232
roll_std_7,0.0005441321990462434,0.000845362976406976
month,0.00029290764737540667,0.00010435054820698731
lag_1,3.9573003600368303e-05,0.00031292584356875096
lag_28,-2.572668071558759e-05,0.00046308128112385863
lag_14,-8.258822083613282e-05,0.00036916169622731843
dayofweek,-0.00022635008145021062,0.00028004369937036295
Discount,-0.00025703382854429523,0.00025212898111807725
roll_std_14,-0.0003350346106904101,0.00035158224280333996
